key=shall   value=MapReduceAssignment/test1:23, MapReduceAssignment/test2:50
key=two,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:7
key=fewer   value=MapReduceAssignment/test1:1
key=things   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:12
key=furthermore,   value=MapReduceAssignment/test1:1
key=learn   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:7
key=book;   value=MapReduceAssignment/test1:1
key=guide   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2
key=teacher,   value=MapReduceAssignment/test1:2
key=not,   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:10
key=bitter   value=MapReduceAssignment/test1:1
key=practical   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:2
key={14}   value=MapReduceAssignment/test1:1
key=plays,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=p,   value=MapReduceAssignment/test1:67
key=draws,   value=MapReduceAssignment/test1:1
key=it.   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:44
key=given   value=MapReduceAssignment/test1:35, MapReduceAssignment/test2:24
key=playing:   value=MapReduceAssignment/test1:3
key=(q)   value=MapReduceAssignment/test1:6
key=above   value=MapReduceAssignment/test1:18, MapReduceAssignment/test2:33
key=black's   value=MapReduceAssignment/test1:117
key=out.)   value=MapReduceAssignment/test1:2
key="_opposition_"   value=MapReduceAssignment/test1:1
key=governs   value=MapReduceAssignment/test1:2
key=fully   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:1
key=1...p   value=MapReduceAssignment/test1:2
